certification_type,firm_name,owners,work_description,naics_codes,physical_address,mailing_address,phone_number,fax_number,email_address,website
DBE,Calfe & Associates LLC,Celeste Calfe,Hman Resores onslting firm with a fos on providing otplaement and areer transition servies leadership development oahing and training exetive oahing and targeted employee development workshops.,541611 541612 541613 541618 561312 611430,"845 Clayton Avene #
Pittsburgh, PA 15214","845 Clayton Avene #
Pittsburgh, PA 15214",412-760-1619,866-373-5774,cmcalfe@calfeassociates.com,http://www.calfeassociates.com
DBE,Cargo Electric Inc.,Carldee Cargo,Residential and ommerial eletrial ontrator.,238210,"65 Arlington Avene
Pittsburgh, PA 15203","65 Arlington Avene
Pittsburgh, PA 15203",412-488-4415,412-488-6003,CEinc99@aol.com,
DBE,Chambers Demostruction,Raymond Chambers,Masonry and demolition ontrator.,238140 238910 562910,"7 Tilden Street
Pittsburgh, PA 15206","7 Tilden Street
Pittsburgh, PA 15206",412-609-8261,412-404-2441,bootsiechambers@comcast.net,
DBE,Chandler Reporting Services,Monica Chandler,Cort reporting servies and notary servies.,541199 561492,"6853 SALTSBURG ROAD
Pittsburgh PA  15235, PA 15235","6853 SALTSBURG ROAD
Pittsburgh PA  15235, PA 15235",412-744-4893,412-744-4893,chandlerreporting@gmail.com,
DBE,Charles Jones Contracting & Remodeling LLC,Charles Jones,General ontrating and home improvement ontrating for ommerial and residential lients.  Servies inlde onrete masonry drywall plaster and inslation.,236118 236220 238110 238190 238310 238910,"37 Gilmore Avene
Pittsburgh, PA 15235","37 Gilmore Avene
Pittsburgh, PA 15235",412-657-8780,,charlesjones725@gmail.com,
DBE,Cam Construction LLC,Patrick Miller,General ontrator speializing in home renovations and light ommerial pgrades.  Servies inlde eletrial plmbing interior and exterior painting framing drywall drywall finish hardwood floor restoration erami tile kithen remodeling bathroom remodeling onrete repair retaining walls roofing sofia fasia siding downspots and gtters and himney pointing.,236118 238170 238210 238310 238330,"7 Lynn Avene
Turtle Creek, PA 15145","7 Lynn Avene
Turtle Creek, PA 15145",412-812-8514,412-812-8514,camconstruct14@gmail.com,
DBE,Cameron Professional Management LLC,Kevin Cameron,Provides management onslting and servies.  These servies onsist of projet management projet management training vendor risk management spply hain management bsiness onslting and staff agmentation.,541611 541612 541613 541614 541618 561110 561320 611430,"9 Centre Avene
Site
Pittsburgh, PA 15219","9 Centre Avene
Site
Pittsburgh, PA 15219",412-251-5924,,kevin.cameron@cpromgt.com,http://www.cpromgt.com
DBE,Cameron Professional Services Group LLC,Francine Cameron,Eonomi and hosing development finanial analysis aonting and bookkeeping spport (Qik Books) and finanial advisory servies (life insrane retirement).,523940 524298 531390 541211 541611 541612 541613 541614 541618 561110 611430,"9 Centre Avene
Site
Pittsburgh, PA 15219","9 Centre Avene
Site
Pittsburgh, PA 15219",412-251-0607,412-745-9898,fcameron@cameronpsg.com,http://www.cameronpsg.com
DBE,Carol Philp Inc.,Caroline Philp,CPI Creative designs and flfills stom program for servie awards safety sales inentives trade shows edation fnd raising & prodt throgh traditional media (Ad Speialties) and innovative prodts that onnet or lients to their target adi,541430 541890,"336 st Street
Pittsburgh, PA 15215","336 st Street
Pittsburgh, PA 15215",412-782-2675,412-782-1732,carol@cpicreative.com,http://www.cpicreative.com
DBE,Carol's Daughter Consulting & Development,Nicole Graycar,Conslting & development professional servies firm that speializes in owners' representation dring major apital projets. The Prinipal/Owner is a registered arhitet. The sope of servies ranges from preliminary de diligene onsltant prorement bdget and shedle setting design development and exetion ontrator seletion and award onstrtion ompletion owner opany and beyond.,541611,"677 Stanton Ave
Pittsburgh, PA 15206","677 Stanton Ave
Pittsburgh, PA 15206",724-777-1953,,nicole@cdsquaredconsulting.com,http://www.cdsquaredconsulting.com
DBE,Christman Chemical Company Inc.,Lynne Christman,Distribtion of janitorial maintenane spplies eqipment onstrtion tools & eqipment offie frnitre and offie spplies. Repair servie to janitorial eqipment. Conslting to hose-keeping environmental servies inlding in-servie seminars for OSHA & EPA 'Right to Know' ompliane in the workplae.,423850 424690 425120 484220 541690,"Sheridan Street
Pittsburgh, PA 15209","Sheridan Street
Pittsburgh, PA 15209",412-821-7440,412-821-2108,lynnechristman81@gmail.com,http://www.christman-chemical.com
DBE,Clemintime LLC,Elizabeth Klehm,Provides Adio and visal engineering and onsltation servies.,512240,"97 Clearview Road
Allison Park, PA 15101","97 Clearview Road
Allison Park, PA 15101",617-817-0956,,Clemintimellc@gmail.com,
DBE,Clio Consulting,Angelique Bamberg,Histori preservation onslting servies and professional writing.,711510 712120,"33 Amber Street
Pittsburgh, PA 15206","33 Amber Street
Pittsburgh, PA 15206",412-956-5517,412-665-0639,clioconsulting@me.com,
DBE,CobblerWorld LLC,Terina J. Hicks,Provides baked onfetion prodts atering pre-pakaged baked goods ontinental breakfast snaks desserts bars et.,722320 722515,"59 Penn Avene
Pittsburgh, PA 15222","59 Penn Avene
Pittsburgh, PA 15222",412-403-2158,,info@cobblerworld.com,https://cobblerworld.com
DBE,Coker Construction Companies L.P.,Edward Coker,Historial renovation restoration (fire ommerial & residential) stom trimming HVAC systems plastering vinyl & alminm siding interior & exterior painting roofing fondations pointing windows serity grills awnings demolition asphalt brik leaning new onstrtion drywall renovations arpeting onrete and landsaping.,236115 236116 236118 236220 237310 238110 238130 238140 238160 238170 238190 238210 238220 238310,"6 Walnt Street
McKeesport, PA 15132","6 Walnt Street
McKeesport, PA 15132",412-673-1990,412-673-4212,CokerLp@aol.com,http://www.cokerconstructioncopa.com
DBE,Cole & Cole Trucking LLC,Madelyn Hampton,Haling dirt slag roks et.,238910 423320 484220,"Dqesne Blvd
Duquesne, PA 15110","Dqesne Blvd
Duquesne, PA 15110",412-657-2978,412-219-5811,admin@ColeAndColeTrucking.com,http://www.coleandcoletrucking.com
DBE,Collective Efforts LLC,Coreen Casadei,General and Civil Engineering Site Development Permitting infrastrtre Wetlands Mniipal Engineering Geotehnial Engineering Environmental Cerla Rra Ust and Enviromental Assessments,541330 541620,"46 Perry Highway
Pittsburgh, PA 15229","46 Perry Highway
Pittsburgh, PA 15229",412-459-0114,,CCasadei@collectiveefforts.com,http://www.collectiveefforts.com
DBE,Commercial Cleaning by the Kellys Inc,Colleen Kelly,Janitorial Servies. Commerial leaning strip and wax floors and arpet leaning,561720 561740,"363 Navajo Ct
Gibsonia, PA 15044","363 Navajo Ct
Gibsonia, PA 15044",412-334-1640,724-444-0891,CCleanK@Gmail.com,
DBE,Common Cents Accounting LLC,Joyce Smith,Provides aonting servies bookkeeping teahing aonting QikBooks and tax preparation.,541219,"99 Glen Mithell Road
Sewickley, PA 15143","99 Glen Mithell Road
Sewickley, PA 15143",412-855-8136,,joyce@creeksideaccounting.com,http://www.creeksideaccounting.com
DBE,Comprehensive Relocation and Housing Services LLC,Eric Hearn,Plans and failitates the reloation of residents who mst move temporarily or permanently to aommodate apartment renovations or demolitions. Firm provides all reqired noties; meet one on one with eah affeted hoseholds to identify their reloation needs and preferenes; identify replaement hosing options and ondt reloation onseling and spport to ensre the reqired moves are ompleted on shedle.,541611,"4 Old Hikory Drive
Pittsburgh, PA 15235","4 Old Hikory Drive
Pittsburgh, PA 15235",412-478-6813,,ehearn@relocationandhousing.com,
DBE,Compulink Networks Inc.,Mr. Samir Boulos,Teleom engineering and systen design and integration.,517810 541512,"53 MNeilly Road
Pittsburgh, PA 15226","53 MNeilly Road
Pittsburgh, PA 15226",412-608-9428,,samir.boulos@compulinknet.com,http://www.compulinknet.com
DBE,Concrete Rose Construction LLC,Tina Daniels,Distribtor of marketing and promotional prodts (advertising speialties indstries).,238110 238310 238320 238330 238350,"7 River Ave
Site 3
Pittsburgh, PA 15212","7 River Ave
Site 3
Pittsburgh, PA 15212",412-235-2800,,Tina@ConcreteRoseConstruction.com,http://www.ConcreteRoseConstruction.com
DBE,Horizon Information Services Inc.,Lori Miller,Voie/data sond and ommniation systems installation.,238210,"659 East Stter Road
Glenshaw, PA 15116","659 East Stter Road
Glenshaw, PA 15116",412-487-7071,412-745-7073,lmiller@horizonis.com,http://www.horizonis.com
DBE,I.D. Ritter Jr. Company Inc.,Ira Ritter Jr.,Commerial exterior and interior painting and wallovering.,238320,"78 Bennett Street nd Floor
Pittsburgh, PA 15208","78 Bennett Street nd Floor
Pittsburgh, PA 15208",412-362-8100,412-362-8200,ira.ritter@verizon.net,
DBE,I.T's 4 ME LLC,Taylor Ford,Managed IT Firm,541512,"7 River Avene
Site 33
Pittsburgh, PA 15212","7 River Avene
Site 33
Pittsburgh, PA 15212",412-482-2983,,tjford@syr.edu,
DBE,Connections 4 Success LLC,Mrs. Vanessa Dodds,Operational Risk Assessments; 	Bsiness Analysis & Assessments; 	Bsiness Proess & Proedres; 	Bsiness Alignment & Growth Strategies; 	Bsiness Plans; 	Strategi Planning; 	Session Planning; 	Professional Development Plans; 	Organizational Training Series; 	Onboard Training & Program Development; 	Workfore Development; 	Crrilm Development & Program Development,541611 541612 541614 611710,"7 Arnold Ares Drive
Pittsburgh, PA 15205","7 Arnold Ares Drive
Pittsburgh, PA 15205",412-240-3218,412-924-9951,vanessa@connections4success.net,http://www.connections4success.net
DBE,Construction Consultant Services Inc.,Roberta Lacinski,Engineering onslting firm performing highway and bridge inspetion and projet management along with OJT spport servies.,237310,"Boye Road
Site A
Pittsburgh, PA 15241","Boye Road
Site A
Pittsburgh, PA 15241",412-600-6269,724-942-4863,rlacinski@aol.com,
DBE,Construction Performance Management LLC,Dale Gonzalez,Constrtion projet ritial path shedling onstrtion management litigation spport servies and management onslting.,236220 237310 237990 541330 541611,"3 Castle Shannon Bolevard
Pittsburgh, PA 15228","3 Castle Shannon Bolevard
Pittsburgh, PA 15228",412-726-0454,412-726-0453,dgonzalez@cpm-llc.net,http://www.cpm-llc-net
DBE,Conti Testing Laboratories Inc.,Patricia Conti-Otroba,Analytial ommerial laboratory speializing in fossil fel environmental analysis barge srveying gaging and feasibility stdies.,541380,"39 Indstrial Blvd.
Bethel Park, PA 15102","39 Indstrial Blvd.
Bethel Park, PA 15102",412-977-8298,412-854-0373,contilab@contitesting.com,https://www.contitesting.com
DBE,Conway's Consulting Services LLC,Lynda Conway,Provides pbli transportation onslting servies.,541614,"5383 Library Rd
Bethel Park, PA 15102","5383 Library Rd
Bethel Park, PA 15102",412-491-5991,,lconway@ccspro.net,
DBE,CornerStone Consulting Group Inc.,Jenifer Anzenberger,Compter onslting and permanent plaement firm.,541611 561311 561320 561330,"68 Poor Rihards Lane
Pittsburgh, PA 15237","68 Poor Rihards Lane
Pittsburgh, PA 15237",412-364-8350,412-364-8353,jenifer@cornerstone-pgh.com,http://www.cornerstone-pgh.com
DBE,Courtman Painting Inc.,Courtney Herman,Commerial painting wallovering installation drywall finishing.,238310 238320,"638 Arlington Avene
Pittsburgh, PA 15210","638 Arlington Avene
Pittsburgh, PA 15210",412-488-8747,412-488-8749,courtney.courtman@verizon.net,
DBE,Crossroads Speech & Hearing Inc.,Christie-Ann Conrad,Provider of speeh and hearing rehabilitation servies.,621340,"539 Washington Road
Bilding  Site
Pittsburgh, PA 15241","539 Washington Road
Bilding  Site
Pittsburgh, PA 15241",724-941-4434,724-941-4714,caconrad@crossroadsspeech.com,http://www.crossroadsspeech.com
DBE,Crowder Construction Company,Samuel Crowder,General bilding ontrator aostial inslation door frames and doors plastering drywall lathing rogh-ins and finish types of work.,238130 238310 238320 238330 238350,"East th Avene
Homestead, PA 15120","East th Avene
Homestead, PA 15120",412-368-8416,,slc.crowcon20@gmail.com,http://www.crowdermbe.com
DBE,Crown Cut Concierge,Tia Baker,Personal and professional life style management servies inlding reloation personal shopping pik p and drop off servies.,541611 812990,"48 Ariston Avene
Pittsburgh, PA 15210","48 Ariston Avene
Pittsburgh, PA 15210",412-853-7217,,tialbaker@gmail.com,http://www.crowncutconcierge.com
DBE,Cut 'N' Run Productions LLC,Jordan McMillen,Video prodtion servies that inldes ommerials traning videos events photography weddings msi videos and DVD athoring.,512110 512191 541430 541921 541922 711130 711510,"53 Beehview Avene
Pittsburgh, PA 15216","53 Beehview Avene
Pittsburgh, PA 15216",412-343-3600,412-343-3606,jordan@cutnrunstudios.com,http://www.cutnrunstudios.com
DBE,Cycle Forward,Amy Camp,Cyle Forward offers onslting servies entered on helping ommnities to better onnet to their trails and greenspaes. Additional onslting servies inlde plae-based marketing and reating immersive experienes for both visitors and loal residents. Professional oahing servies and natre-based retreats workshops and programs are offered on a limited basis.,541611 541613,"36 Jane Street
Pittsburgh, PA 15203","36 Jane Street
Pittsburgh, PA 15203",412-918-6563,,amy@cycleforward.org,http://www.cycleforward.org
DBE,D & D Engineering Inc.,Virginia Dailey,Eletrial engineering servies that inldes engineering design onslting onstrtion management failities stdies and trobleshooting.,541330,"35 Wilson Street
Site
Pittsburgh, PA 15223","35 Wilson Street
Site
Pittsburgh, PA 15223",412-784-1560,412-784-1561,info@ddengr.com,http://www.ddengr.com
DBE,DAG Supply Company LLC,Daniela Folino,Spply and trking.,423320 425120 484220,"545 Fox Chapel Road
Pittsburgh, PA 15238","545 Fox Chapel Road
Pittsburgh, PA 15238",412-804-1464,412-963-7215,danifolino@verizon.net,
DBE,DG Training Solutions Inc.,Denise Ann Galloni,Professional and management development training onslting and media marketing. Also designs and hosts workshops and partiipates in events as a keynote speaker.;,611430,"33 Slatewood Cort
Bethel Park, PA 15102","33 Slatewood Cort
Bethel Park, PA 15102",412-715-3050,,dgtrainingsolutionsinc@gmail.com,https://www.dgtrainingsolutionsinc.com/
DBE,Daryl Houston Trucking LLC,Daryl Houston,Trking.,423320 425120 484220,"85 Bayridge Avene
Pittsburgh, PA 15226","85 Bayridge Avene
Pittsburgh, PA 15226",412-475-5985,412-000-0000,Daryl_712000@yahoo.com,
DBE,Daryl Milliner Media,Daryl Milliner,Advertising,541810,"654 Illinois Avene
Pittsburgh, PA 15221","654 Illinois Avene
Pittsburgh, PA 15221",412-657-2643,866-998-1971,DMillinerSR@icloud.com,
ACDBE,Daryl Milliner Media,Daryl Milliner,Advertising,541810,"654 Illinois Avene
Pittsburgh, PA 15221","654 Illinois Avene
Pittsburgh, PA 15221",412-657-2643,866-998-1971,DMillinerSR@icloud.com,
DBE,Data Consulting Solutions Inc.,William Burleigh,Conslting firm providing network management stom programming needs analysis srveys ompter hardware/software soltions systems training and spport and ommniations soltions.,541511 541512 541513 541519,"7 River Avene
Pittsburgh, PA 15212","7 River Avene
Pittsburgh, PA 15212",412-414-1566,412-401-3868,dataconsulting@netzero.net,
DBE,Davidson Painting LLC,Diego Davidson,Painting interior and exterior ommerial and residential property drywall landsapingand general labor.,238310 238320 561730,"936 Oranmore Street
Pittsburgh, PA 15201","936 Oranmore Street
Pittsburgh, PA 15201",412-932-3072,,davidsonpainting412@gmail.com,
DBE,Deacons Cleaning Service,Darryl Wilson,Provider of Janitorial Cleaning Servie for ommerial offie bildings and some onstrtion leanp servies.,238990 561720,"86 Delmont Avene
Pittsburgh, PA 15210","86 Delmont Avene
Pittsburgh, PA 15210",412-726-9772,,jaylan816@verizon.net,
DBE,Deborah Knox,Deborah Knox,Writing and editing - bsiness development and marketing spport for arhitets engineers ontrators and faility managers.,541613 541910 711510,"56 Mnhall Road Site 89
Pittsburgh, PA 15217","56 Mnhall Road Site 89
Pittsburgh, PA 15217",412-344-3966,,knoxconsulting@gmail.com,http://www.knox412.com
DBE,Designhus LLC,Michele Grindheim,Residential and ommerial interior design servies design onsltant and manfatrer's representative for residential and ommerial frnitre fabri walloverings window blinds and trim.,425120 541410,"5 Conestoga Road
Pittsburgh, PA 15235","5 Conestoga Road
Pittsburgh, PA 15235",412-606-9647,412-243-6936,info@dhmodern.com,http://www.designhuspgh.com
DBE,Davis Consulting Solutions LLC,Danielle Davis,Bsiness spport training and onslting servies providing professional bsiness development strategi planning staff training and spportive referral servies.,541611 541612 541613 561311 561920 611430 813319,"N. Whitfield Street
Site 55
Pittsburgh, PA 15207","N. Whitfield Street
Site 55
Pittsburgh, PA 15207",412-407-2499,412-251-5740,consultwithdavis@gmail.com,http://www.davisconsultsolutions.com
DBE,DeLoJe LLC,Georgetta Rue,Professional development workfore training hange management or trn-arond assistane as well as yoth and adlt program management; fnding assistane throgh grant writing and marketing; video prodtion  website design administrative management onslting and marketing onslting,512110 541511 541611 541613 561312 561410 611420 611430 611691 611710,"485 Chatsworth Avene
Pittsburgh, PA 15207","485 Chatsworth Avene
Pittsburgh, PA 15207",412-728-8897,412-421-0724,grue@deloje.com,http://www.deloje.com
DBE,Destine To Be LLC,SCHERRITA FOLKS,Inspirational prodts and servies individal and grop life oahing stom T-shirts and mgs.,323113 624110 624190,"4 Conestoga Road
Pittsburgh, PA 15235","4 Conestoga Road
Pittsburgh, PA 15235",412-290-9064,,,
DBE,DigitHead Inc.,Jennifer Beam,Fiber; Opti; MTP; MTO; Trnk; Fan ot; Cat 5e; Cat 6; Cstom: Cable; Ribbon; Connetor; Coax; Assembly; Adapter; Network; Connetivity; RJ45; USB; SVGA; HDMI; Ethernet; Harness; Plenm; LSZH; Path Panel: Manfatring: Toys; Plsh; Embroidering; Novelties; Promotional; Printing; Pakaging; Plasti; Injetion; Rotary; Blow; Mold; Prodt: Development; Logistis; Tooling; Design; OEM; Freight Forward; Give Away,423420 423430 423690 449210,"68 Washington Pike
Bridgeville, PA 15017","68 Washington Pike
Bridgeville, PA 15017",412-257-3550,888-503-2327,jennifer@digitheadinc.com,http://www.digitheadinc.com
DBE,Diversified Commodities Inc.,Craig Bingham,Spplier for varios safety and indstrial items onrete bloks eletrial items and ready-mix onrete. Broker for lmber and wood prodts roofing siding and inslation materials. Also provides brokerage servies for transportation that inlde trking and oean freight.,238110 238990 327320 423310 423320 423330 423610 423850 425120 444180 484220 484230 488510 541614 561720,"39 East Main Street
Carnegie, PA 15106","39 East Main Street
Carnegie, PA 15106",412-429-8564,412-429-8313,craig@dcilogistics.net,http://www.dcilogistics.net
DBE,Divine Power Concepts LLC,Matthew Small,Commerial and residential eletrial ontrator for new onstrtion and existing strtres involving lights otpts meters otlets generators.,238210,"7 River Avene
Site 4
Pittsburgh, PA 15212","7 River Avene
Site 4
Pittsburgh, PA 15212",412-519-2574,,mattsmall1@yahoo.com,
DBE,Dom DeMarco Construction Inc.,Ms. Linda DeMarco,Dom DeMaro Constrtion In. is a nion Company employing arpenters ement finishers and arpenters throghot Western Pennsylvania.;,238110,"3 Browntown Road
New Kensington, PA 15068","3 Browntown Road
New Kensington, PA 15068",724-337-3504,724-337-3574,ddclinda@comcast.net,http://domdemarcoconstruction.com
DBE,Don Parker Sales Inc.,Pam Pitell,Sales servie installation of atomotive shop eqipment lifts lbriation eqipment ompressors and pressre eqipment.,334519 336510 423860,"87 Babok Blvd.
Pittsburgh, PA 15209","87 Babok Blvd.
Pittsburgh, PA 15209",412-821-4085,412-821-6320,PamelaPitell@dps-inc.net,
ACDBE,Don Parker Sales Inc.,Pam Pitell,Sales servie installation of atomotive shop eqipment lifts lbriation eqipment ompressors and pressre eqipment.,334519 336510 423860,"87 Babok Blvd.
Pittsburgh, PA 15209","87 Babok Blvd.
Pittsburgh, PA 15209",412-821-4085,412-821-6320,PamelaPitell@dps-inc.net,
DBE,Dot's Distributor LLC,Dorothy Skoko,Medial gloves and speialty items.,423450 423910 424210,"3 Mt. Lebanon Bolevard
Castle Shannon, PA 15234","3 Mt. Lebanon Bolevard
Castle Shannon, PA 15234",412-531-7313,412-531-7313,skoko.dot@comcast.net,
DBE,Dream City Trucking LLC,Levertt Diggs,Haling trking.,423320 425120 484110 484220 562112 562119 562212,"54 Linoln Avene
Pittsburgh, PA 15206","54 Linoln Avene
Pittsburgh, PA 15206",412-377-2953,,dream.city@aol.com,http://WWW.DREAMCITYTRUCKING.COM
DBE,Dynotec Inc.,Mr. Suthanthira Vallipuram,Engineering servies in the areas of bridge/roadway design stormwater drainage system design srveying onstrtion management and enviornmental servies.,541310 541330 541370,"8 Vinial Street
Site B3
Pittsburgh, PA 15212","8 Vinial Street
Site B3
Pittsburgh, PA 15212",216-526-1749,614-880-7324,suthav@dynotecinc.com,http://www.dynotecinc.com
DBE,E. Holdings Inc.,Irvin Williams,Administrative management and general management onslting servies management and onslting servies for pbli partiipation and ommnity involvement that inldes meeting oordination and failitation database management strategi planning for media and ommnity relations isses ampaigns data proessing marketing onslting servies researh and development in the soial sienes and hmanities display advertising marketing researh and pbli opinion polling doment preparation servies professional and management development training.,518210 541430 541513 541611 541613 541620 541720 541820 541850 541910 561110 561410,"8 Centre Avene #33
Pittsburgh, PA 15219","8 Centre Avene #33
Pittsburgh, PA 15219",412-434-6571,412-434-6570,irvin.williams@eholdings.biz,http://www.eholdingsinc.com
DBE,EIM Services Inc.,ETIENNE BAKOUA-MBEBELET,Management onslting finanial management staffing information tehnology onslting energy soltions and onstrtion servies. Certified Pbli Aontants.  Other aonting servies.;,541211 541219 541611 561320,"4 Farmington Road
Pittsburgh, PA 15215","4 Farmington Road
Pittsburgh, PA 15215",412-301-1781,412-482-3661,eimservices2014@gmail.com,http://N/A
DBE,EKS Solutions LLC,Evaine Sing,EKS Soltions is a ommon sense onslting ompany that provides servies to ommnity-fosed efforts that fill short-term needs sh as inlsive landsape design operational spport program implementation poliy development ommnity engagement and planning failitation.,541320 541611,"95 Peralta Street
Pittsburgh, PA 15212","95 Peralta Street
Pittsburgh, PA 15212",412-605-7465,,evaine@ekssolutions.com,http://www.EKSsolutions.com
DBE,EXICO Inc.,Mr. Eustace Uku,Management onslting firm providing servies in the areas of finanial management general management training onstrtion management and international trade.,236115 236116 236117 236118 236220 237110 237310 238910 531120 541211 541611 561320,"4 Farmington Road
Pittsburgh, PA 15215","4 Farmington Road
Pittsburgh, PA 15215",412-261-3073,412-772-1051,eouku@exicoinc.com,http://www.exicoinc.com
DBE,EZ-Transit LLC,Ezra Coles,Transportation servie for soial event employee non-amblatory paratransit transport.,485991 485999,"6 Garden City Drive
Monroeville, PA 15145","6 Garden City Drive
Monroeville, PA 15145",412-292-1229,,ecoles1@gmail.com,http://www.ez-transit.net
DBE,His Rides LLC,Raeceeda Ellison-Clark,oil hanges; tire hange; PA Inspetion; Breathalyzer; Fll Agent/Messenger (in progress),811111 811114 811198,"8 Linoln Avene
Pittsburgh, PA 15206","8 Linoln Avene
Pittsburgh, PA 15206",412-636-6184,412-752-5715,Raeceeda@gmail.com,https://hisrides.online
DBE,Hometeam Properties LLC,Mr. Eugene Henderson,Commerial & residential onstrtion whih inldes drywall plaster painting flooring framing & finish arpentry ontrator.,238910 562910,"397 Frey Road
Penn Hills, PA 15235","397 Frey Road
Penn Hills, PA 15235",412-398-6033,,hometeam.renovation@gmail.com,http://www.htabatement.com
DBE,Earthspan LLC,Tracy Borne,Engineering servies inlding ivil engineering engineering design servies engineering servies; srveying and mapping (exept geophysial) servies inlding geographi information systems (GIS) geospatial mapping servies mapping (exept geophysial) servies srveying and mapping servies and topographi srveying servies.,541330 541370,"337 Nihols Road
Pittsburgh, PA 15237","337 Nihols Road
Pittsburgh, PA 15237",412-606-3815,412-606-3815,tracy.borne@earthspanllc.com,
DBE,East End Plumbing & Mechanical Inc.,Florinda Mascilli,Plmbing heating piping inslation.,238220 238290 423720,"8 Exetive Drive
Gibsonia, PA 15044","8 Exetive Drive
Gibsonia, PA 15044",412-782-1944,412-782-4812,flo@eastendmechanical.com,http://www.eastendmechanical.com
DBE,Elliance Inc.,Abu Noaman,Provides e-bsiness and e-marketing tools for lients interested in ondting bsiness on the internet.,541511 541512 541513,"7 River Avene
Site 336
Pittsburgh, PA 15212","7 River Avene
Site 336
Pittsburgh, PA 15212",412-586-1480,412-586-1481,Aliya@elliance.com,http://www.elliance.com
DBE,Emanuel Rawlings CPA/MBA,Emanuel Rawlings,Aonting and bookkeeping servies.,541211,"Janie Drive
Pittsburgh, PA 15235","Janie Drive
Pittsburgh, PA 15235",412-812-6985,412-731-3318,manough@comcast.net,
DBE,Emerald Electrical Services LLC,Deborah Morehead,Eletrial ontrator.,236220 238210 238220 423430 423440 423610 423990 425120,"64 Epsilon Drive
Pittsburgh, PA 15238","64 Epsilon Drive
Pittsburgh, PA 15238",412-373-4430,724-373-4430,d.morehead@emeraldesllc.com,http://www.emeraldelectricalservice.com
DBE,Enhanced Creativity,Raecal Coleman,Wedding onsltant events stom gifts.,812990,"3 Strahley Plae
Pittsburgh, PA 15220","3 Strahley Plae
Pittsburgh, PA 15220",724-831-7321,,enhancedcreativity2009@gmail.com,
DBE,Entergy Electric Company LLC,James Howard,Residential eletrial work.,238210,"7 Gary Street
Site
Carnegie, PA 15106","7 Gary Street
Site
Carnegie, PA 15106",412-429-1300,412-429-1333,entergyelectric@aol.com,http://www.entergyelectric.com
DBE,Environmental Data Services Ltd.,Ms. Diane Waldschmidt,Environmental Data Servies ; ; Analytial Program Design; Qality Assrane Projet Plans; Laboratory Qalifiation/Contrating;  Design of analytial programs that meet reglatory needs);  Development of qality assrane projet plans;  Development of field sample olletion protools;  Inspetion and aditing of field sampling ontrators;  Inspetion and aditing of laboratories;  Administration and evalation of laboratory performane evalation testing;  Validation of projet analytial data,518210 541620,"5 Brilliant Avene
Pittsburgh, PA 15215","5 Brilliant Avene
Pittsburgh, PA 15215",412-408-3288,,dwaldschmidt@eds-us.net,http://www.eds-pa.com
DBE,Environmental Data Validation Inc.,Ms. Maxine Wright-Walters,Environmental pbli health sientifi researh and onslting.,541380 541620,"36 Orangewood Avene
Pittsburgh, PA 15216","36 Orangewood Avene
Pittsburgh, PA 15216",412-341-5281,412-571-1932,mwalters@edv-inc.com,http://www.edv-inc.com
DBE,Ervin Home Beautification,Samuel Ervin Sr.,Commerial and residential janitorial painting landsaping leaf and snow removal and onstrtion lean p servies.,238320 238990 561720 561730,"33 Rohelle Street
Pittsburgh, PA 15210","33 Rohelle Street
Pittsburgh, PA 15210",412-583-2950,412-727-1256,lauradendy50@gmail.com,
DBE,F & M Technology LLP,HIGINIO MENDOZA JR.,Offers servie and health/wellness prodts. Compter networking speifially geared for LAN and WAN networks and legal servies/paralegal/CLA.  Prodt spplier ASEA: redox signaling moleles enhanement.;,424490 541199 541513 541519,"36 JACKMAN AVE
PITTSBURGH, PA 15202","36 JACKMAN AVE
PITTSBURGH, PA 15202",412-584-2082,,technologyfm@gmail.com,http://www.technologyfmhome.com
DBE,FOB Group LLC,Abimbola Fapohunda M.D.,Provides onslting servies on ntrition pbli health servies/program administration and energy onslting.,541690 621399 923120,"3 Northwestern Drive
Monroeville, PA 15146","3 Northwestern Drive
Monroeville, PA 15146",412-303-2024,412-856-6854,aof@fobgroup.com,
DBE,Fagan Inc,Mary-Jane Fagan,Distribtion of janitorial spplies.,423850,"6 Grant Street
West Elizabeth, PA 15088","6 Grant Street
West Elizabeth, PA 15088",412-384-1700,412-384-3460,maryjane@fagansupply.com,http://www.fagansupply.com
DBE,Family Comes 1st Commercial Cleaning Company LLC,Jamisha Oaks,Cleaning and hosekeeping servie.,561720,"39 Anthony Street
Pittsburgh, PA 15210","39 Anthony Street
Pittsburgh, PA 15210",412-218-6860,,jamieshaoaks@gmail.com,
DBE,Filly Fabricating Inc.,Kory Kiczan McCarty,Assembly work for transportation indstry and spplier of related materials.,423830 423860 488991 488999,"396 Crooked Rn Road
Site A
North Versailles, PA 15137","396 Crooked Rn Road
Site A
North Versailles, PA 15137",412-896-6452,412-512-8341,korykiczan@fillyfab.net,http://fillyfabricating.com
DBE,Finney Hauling Services LLC,Wayne Finney,Dmp trk haling of road millings asphalt stone dirt and rok for onstrtion projets.,484220,"74 Jonathan Plae
Pittsburgh, PA 15208","74 Jonathan Plae
Pittsburgh, PA 15208",412-961-3270,,fhservicesllc@yahoo.com,http://www.finneyhaulingservices.com
